,Symbol,Date,Close,High,Low,Open,Volume,engulfing,hammer,inverse_hammer,piercing,morning_star,3adv_white_soldiers,hanging_man,shooting_star,evening_star,evening_doji_star,three_black_crows,dark_cloud_cover,doji,spinning_top,rising_falling_three_methods,Adj Close
5828,FICO,1/15/2025,2030.469971,2030.469971,1983.349976,2016.969971,238100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6066,FLUT,1/15/2025,255.3099976,265.0799866,248.3999939,265.0799866,1698700,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
6134,FTV,1/15/2025,77.87999725,78.5,77.33999634,78.40000153,2749900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6678,GBTC,1/15/2025,78.97000122,79.91000366,78.20999908,78.27999878,2764100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
6406,GD,1/15/2025,264.6844788,266.435192,262.6254054,266.1168749,1013500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6695,GGAL,1/15/2025,71.62999725,72.51000214,70.09999847,72.51000214,1200900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3193,GIB,1/15/2025,108.3799973,108.7900009,107.6600037,108.7900009,112700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13325,GLD,1/15/2025,248.8800049,248.8999939,247.0099945,248.2100067,6345000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6457,GM,1/15/2025,51.70000076,52.95000076,51.61999893,52.20000076,7518900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
16028,GWW,1/15/2025,1093.359985,1116.98999,1091.719971,1101.949951,539800,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
7035,HPE,1/15/2025,23.29999924,23.34000015,22.95000076,23.15500069,17963000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
7273,HSBC,1/15/2025,50.04000092,50.08000183,49.52000046,49.95000076,2206600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6814,HSNGY,1/15/2025,11.81000042,11.94999981,11.80000019,11.85999966,36300,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
16232,HUM,1/15/2025,279.4899902,284.3699951,279.269989,280.75,1204400,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
7426,IDXX,1/15/2025,422.9200134,431.5400085,422.3599854,424.8200073,587300,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
7596,IR,1/15/2025,90.52999878,91.75,90.44000244,90.66000366,2139200,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
10928,IX,1/15/2025,102.8000031,103.2399979,101.8700027,103.2200012,41900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8004,JHX,1/15/2025,32.86999893,32.93999863,32.06999969,32.77999878,89700,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
8140,JNPR,1/15/2025,38.66999817,38.72000122,38.43999863,38.72000122,2092800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8174,KAOOY,1/15/2025,7.480000019,7.5,7.449999809,7.480000019,242700,0,0,0,0,0,0,0,-100,0,0,0,0,100,100,0,
8395,KGC,1/15/2025,10.65999985,10.81000042,10.44999981,10.80000019,20197000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8446,KKR,1/15/2025,150.5,151.6499939,148.6799927,151.4900055,5081900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8463,KLAC,1/15/2025,716.25,727.3699951,713.539978,715,1368300,0,0,0,0,0,0,0,-100,0,0,0,0,100,100,0,
8973,LPLA,1/15/2025,338.25,338.6799927,331.9299927,336.0299988,512200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
9126,MANH,1/15/2025,274.4599915,278.3099976,273.2399902,273.7099915,415400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
9500,MET,1/15/2025,84.93000031,85.66999817,84.81999969,85.13999939,4415600,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
9908,MPLX,1/15/2025,50.18999863,50.65000153,50.13999939,50.20000076,1383600,0,0,0,0,0,0,0,-100,0,0,0,0,100,-100,0,
1153,MT,1/15/2025,23.22999954,23.23999977,22.90999985,23.14999962,1872100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
9959,MURGY,1/15/2025,10.19999981,10.22000027,10.07999992,10.21000004,240000,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
14379,NCTY,1/15/2025,15.84000015,16.55999947,15.60000038,15.65999985,161000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
966,NLY,1/15/2025,18.72999954,18.84000015,18.51000023,18.84000015,5047000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
10095,NSRGY,1/15/2025,80.40000153,81.13999939,80.40000153,81.02999878,1113600,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
10316,NTTYY,1/15/2025,24.51000023,24.60000038,24.39999962,24.53000069,167100,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
2292,OWL,1/15/2025,22.90999985,23.125,22.73999977,22.77000046,7170800,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11302,PCG,1/15/2025,16.87000084,17.47999954,16.53000069,16.54999924,46400500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11591,PGR,1/15/2025,242.4700012,242.9400024,238.4299927,240.9100037,3498000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11081,PH,1/15/2025,656.3200073,669.1199951,655.5800171,660.4899902,701200,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11030,PLTR,1/15/2025,68.13999939,68.84999847,67.08000183,68.55000305,56025800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11438,PNC,1/15/2025,200.4400024,200.6199951,197.75,199.3899994,3431200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11370,PPC,1/15/2025,45.83000183,46.90000153,45.75999832,46.13000107,969300,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11251,PR,1/15/2025,15.64999962,15.68999958,15.43000031,15.63000011,7034800,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
12322,RKLB,1/15/2025,24.87000084,26.5,24.78000069,25.04000092,15252200,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
12458,RY,1/15/2025,119.7799988,120.1500015,119.0899963,120,2063500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6966,SCNI,1/15/2025,3.437000036,3.480000019,3.420000076,3.440000057,3800,0,0,100,0,0,0,0,0,0,0,0,0,100,-100,0,
1985,SDXAY,1/15/2025,14.81999969,14.89999962,14.67000008,14.89999962,47300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
9074,SGSOY,1/15/2025,9.470000267,9.510000229,9.420000076,9.489999771,94400,0,100,0,0,0,0,0,0,0,0,0,0,100,-100,0,
12968,SHOP,1/15/2025,104.2399979,104.8300018,102.8310013,104.4899979,6234900,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
12815,SKHSY,1/15/2025,23.09000015,23.09000015,22.95000076,23.06999969,70000,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
13053,SMCAY,1/15/2025,18.29999924,18.35000038,18.10000038,18.29999924,562600,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
13903,SNX,1/15/2025,136.2599945,138.0399933,134.4700012,138,1007600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13189,SOFI,1/15/2025,15.51000023,15.55000019,14.98999977,15.35999966,38873100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13257,SONY,1/15/2025,20.5,20.51000023,20.29000092,20.47999954,4733900,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
13002,SPG,1/15/2025,171.75,176.9400024,170.8699951,176.6100006,1204400,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,
13393,SSEZY,1/15/2025,19.48999977,19.51000023,19.36000061,19.43000031,89300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13529,SSUMY,1/15/2025,20.75,20.84000015,20.68000031,20.76000023,63800,0,0,0,0,0,0,-100,-100,0,0,0,0,100,-100,0,
1408,T,1/15/2025,21.90999985,22.09000015,21.87999916,21.97999954,50559900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
14719,TCOM,1/15/2025,65.01999664,65.34999847,64.59999847,65.31999969,1859800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
14192,TER,1/15/2025,134.9299927,137.6600037,134.6900024,136.2400055,1871200,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
14175,THC,1/15/2025,130.0299988,131.1799927,128.8500061,130.8200073,767000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
